2023-06-16; 18:28:18.921059; 53 PING; 18:28:19.893803; [139/53] PONG 2
2023-06-16; 18:28:20.356980; 54 PING; 18:28:20.955028; [140/54] PONG 2
2023-06-16; 18:28:21.823167; 55 PING; 18:28:22.344263; [141/55] PONG 2
2023-06-16; ; ; 18:28:22.996811; 144 keepalive
2023-06-16; 18:28:24.319391; 56 PING; 18:28:24.781389; [145/56] PONG 2
2023-06-16; 18:28:25.363911; 57 PING; 18:28:26.363010; [148/57] PONG 2
2023-06-16; 18:28:27.124875; 58 PING; (таймаут)
2023-06-16; ; ; 18:28:28.007598; 152 keepalive
2023-06-16; 18:28:28.261923; 59 PING; 18:28:28.546493; [153/59] PONG 2
2023-06-16; 18:28:28.799926; 60 PING; 18:28:29.323880; [154/60] PONG 2
2023-06-16; 18:28:29.434866; 61 PING; 18:28:30.177003; [156/61] PONG 2
2023-06-16; 18:28:30.995778; 62 PING; 18:28:31.709361; [158/62] PONG 2
2023-06-16; ; ; 18:28:33.009238; 161 keepalive
2023-06-16; 18:28:33.689067; 63 PING; 18:28:34.340903; [162/63] PONG 2
2023-06-16; 18:28:35.965946; 64 PING; 18:28:36.377836; [165/64] PONG 2
2023-06-16; 18:28:36.473173; 65 PING; 18:28:37.407165; [167/65] PONG 2
2023-06-16; ; ; 18:28:38.008241; 169 keepalive
2023-06-16; 18:28:38.197056; 66 PING; 18:28:39.077867; [171/66] PONG 2
2023-06-16; 18:28:40.119880; 67 PING; 18:28:41.008209; [173/67] PONG 2
2023-06-16; 18:28:41.423046; 68 PING; 18:28:41.933842; [174/68] PONG 2
2023-06-16; ; ; 18:28:43.003843; 176 keepalive
2023-06-16; 18:28:43.893896; 69 PING; 18:28:44.685865; [178/69] PONG 2
2023-06-16; 18:28:45.286526; 70 PING; 18:28:45.525757; [180/70] PONG 2
2023-06-16; 18:28:46.137918; 71 PING; 18:28:46.689856; [181/71] PONG 2
2023-06-16; ; ; 18:28:48.011176; 184 keepalive
2023-06-16; 18:28:48.500922; 72 PING; 18:28:48.963921; [186/72] PONG 2
2023-06-16; 18:28:50.439114; 73 PING; 18:28:50.990325; [188/73] PONG 2
2023-06-16; 18:28:52.903426; 74 PING; 18:28:53.332566; [192/74] PONG 2
2023-06-16; ; ; 18:28:53.013432; 191 keepalive
2023-06-16; 18:28:55.498386; 75 PING; 18:28:55.829963; [195/75] PONG 2
2023-06-16; 18:28:57.732904; 76 PING; 18:28:58.601231; [200/76] PONG 2
2023-06-16; ; ; 18:28:58.018207; 198 keepalive
2023-06-16; 18:29:00.706291; 77 PING; 18:29:01.580156; [202/77] PONG 2
2023-06-16; ; ; 18:29:03.034937; 205 keepalive
2023-06-16; 18:29:03.655826; 78 PING; 18:29:04.555443; [207/78] PONG 2
2023-06-16; 18:29:04.003227; 79 PING; 18:29:05.478200; [208/79] PONG 2
2023-06-16; 18:29:05.761857; 80 PING; 18:29:05.888635; [209/80] PONG 2
2023-06-16; ; ; 18:29:08.036813; 212 keepalive
2023-06-16; 18:29:08.419193; 81 PING; 18:29:08.656265; [214/81] PONG 2
2023-06-16; 18:29:09.164158; 82 PING; 18:29:09.925430; [215/82] PONG 2
2023-06-16; 18:29:10.690430; 83 PING; 18:29:10.818437; [217/83] PONG 2
